instancia,semilla,generacion,alpha,beta,pop_size,clon_size,porc_afinidad,porc_clones,porc_reemplazo,hypervolumen,tiempo
Mumford0,2137449171,1,1.01,-0.01,100,150,1,0.5,0.3,7109.25,33
Mumford0,2137449171,2,1.01,-0.01,100,150,1,0.5,0.3,7197.28,59
Mumford0,2137449171,3,1.01,-0.01,100,150,1,0.5,0.3,7631.61,86
Mumford0,2137449171,4,1.01,-0.01,100,150,1,0.5,0.3,7728.52,112
Mumford0,2137449171,5,1.01,-0.01,100,150,1,0.5,0.3,7812.69,127
Mumford0,2137449171,6,1.01,-0.01,100,150,1,0.5,0.3,7874.05,147
Mumford0,2137449171,7,1.01,-0.01,100,150,1,0.5,0.3,7945.93,164
Mumford0,2137449171,8,1.01,-0.01,100,150,1,0.5,0.3,7988.83,182
Mumford0,2137449171,9,1.01,-0.01,100,150,1,0.5,0.3,8050.65,202
Mumford0,2137449171,10,1.01,-0.01,100,150,1,0.5,0.3,8108.06,215
Mumford0,2137449171,11,1.01,-0.01,100,150,1,0.5,0.3,8177.41,232
Mumford0,2137449171,12,1.01,-0.01,100,150,1,0.5,0.3,8220.54,252
Mumford0,2137449171,13,1.01,-0.01,100,150,1,0.5,0.3,8228.56,269
Mumford0,2137449171,14,1.01,-0.01,100,150,1,0.5,0.3,8289.43,285
Mumford0,2137449171,15,1.01,-0.01,100,150,1,0.5,0.3,8387.61,306
Mumford0,2137449171,16,1.01,-0.01,100,150,1,0.5,0.3,8442.99,324
Mumford0,2137449171,17,1.01,-0.01,100,150,1,0.5,0.3,8500.2,337
Mumford0,2137449171,18,1.01,-0.01,100,150,1,0.5,0.3,8530.41,351
Mumford0,2137449171,19,1.01,-0.01,100,150,1,0.5,0.3,8559.31,362
Mumford0,2137449171,20,1.01,-0.01,100,150,1,0.5,0.3,8600.33,377
Mumford0,2137449171,21,1.01,-0.01,100,150,1,0.5,0.3,8631.54,394
Mumford0,2137449171,22,1.01,-0.01,100,150,1,0.5,0.3,8687.25,410
Mumford0,2137449171,23,1.01,-0.01,100,150,1,0.5,0.3,8753.58,424
Mumford0,2137449171,24,1.01,-0.01,100,150,1,0.5,0.3,8783.47,436
Mumford0,2137449171,25,1.01,-0.01,100,150,1,0.5,0.3,8784.12,450
Mumford0,2137449171,26,1.01,-0.01,100,150,1,0.5,0.3,8784.74,467
Mumford0,2137449171,27,1.01,-0.01,100,150,1,0.5,0.3,8811.18,481
Mumford0,2137449171,28,1.01,-0.01,100,150,1,0.5,0.3,8811.25,495
Mumford0,2137449171,29,1.01,-0.01,100,150,1,0.5,0.3,8811.38,509
Mumford0,2137449171,30,1.01,-0.01,100,150,1,0.5,0.3,8844.27,526
Mumford0,2137449171,31,1.01,-0.01,100,150,1,0.5,0.3,8845.25,541
Mumford0,2137449171,32,1.01,-0.01,100,150,1,0.5,0.3,8909.28,560
Mumford0,2137449171,33,1.01,-0.01,100,150,1,0.5,0.3,8960.93,583
Mumford0,2137449171,34,1.01,-0.01,100,150,1,0.5,0.3,8986.44,599
Mumford0,2137449171,35,1.01,-0.01,100,150,1,0.5,0.3,9049.46,615
Mumford0,2137449171,36,1.01,-0.01,100,150,1,0.5,0.3,9050.4,632
Mumford0,2137449171,37,1.01,-0.01,100,150,1,0.5,0.3,9113.57,644
Mumford0,2137449171,38,1.01,-0.01,100,150,1,0.5,0.3,9115.08,659
Mumford0,2137449171,39,1.01,-0.01,100,150,1,0.5,0.3,9115.22,674
Mumford0,2137449171,40,1.01,-0.01,100,150,1,0.5,0.3,9142.55,691
Mumford0,2137449171,41,1.01,-0.01,100,150,1,0.5,0.3,9142.89,706
Mumford0,2137449171,42,1.01,-0.01,100,150,1,0.5,0.3,9145.32,721
Mumford0,2137449171,43,1.01,-0.01,100,150,1,0.5,0.3,9171.11,734
Mumford0,2137449171,44,1.01,-0.01,100,150,1,0.5,0.3,9171.4,748
Mumford0,2137449171,45,1.01,-0.01,100,150,1,0.5,0.3,9171.89,760
Mumford0,2137449171,46,1.01,-0.01,100,150,1,0.5,0.3,9172.21,774
Mumford0,2137449171,47,1.01,-0.01,100,150,1,0.5,0.3,9173.1,788
Mumford0,2137449171,48,1.01,-0.01,100,150,1,0.5,0.3,9173.52,803
Mumford0,2137449171,49,1.01,-0.01,100,150,1,0.5,0.3,9173.59,817
Mumford0,2137449171,50,1.01,-0.01,100,150,1,0.5,0.3,9173.71,830
Mumford0,2137449171,51,1.01,-0.01,100,150,1,0.5,0.3,9173.72,844
Mumford0,2137449171,52,1.01,-0.01,100,150,1,0.5,0.3,9173.72,855
Mumford0,2137449171,53,1.01,-0.01,100,150,1,0.5,0.3,9173.81,866
Mumford0,2137449171,54,1.01,-0.01,100,150,1,0.5,0.3,9176.1,878
Mumford0,2137449171,55,1.01,-0.01,100,150,1,0.5,0.3,9176.25,888
Mumford0,2137449171,56,1.01,-0.01,100,150,1,0.5,0.3,9176.25,901
Mumford0,2137449171,57,1.01,-0.01,100,150,1,0.5,0.3,9176.42,911
Mumford0,2137449171,58,1.01,-0.01,100,150,1,0.5,0.3,9176.47,921
Mumford0,2137449171,59,1.01,-0.01,100,150,1,0.5,0.3,9176.49,932
Mumford0,2137449171,60,1.01,-0.01,100,150,1,0.5,0.3,9212.3,943
Mumford0,2137449171,61,1.01,-0.01,100,150,1,0.5,0.3,9212.3,953
Mumford0,2137449171,62,1.01,-0.01,100,150,1,0.5,0.3,9213.06,961
Mumford0,2137449171,63,1.01,-0.01,100,150,1,0.5,0.3,9213.4,971
Mumford0,2137449171,64,1.01,-0.01,100,150,1,0.5,0.3,9213.4,985
Mumford0,2137449171,65,1.01,-0.01,100,150,1,0.5,0.3,9213.44,998
Mumford0,2137449171,66,1.01,-0.01,100,150,1,0.5,0.3,9213.56,1009
Mumford0,2137449171,67,1.01,-0.01,100,150,1,0.5,0.3,9213.59,1021
