instancia,semilla,generacion,alpha,beta,pop_size,clon_size,porc_afinidad,porc_clones,porc_reemplazo,hypervolumen,tiempo
Mumford0,1,1,1.01,-0.01,200,150,0.25,0.25,0.3,6889.82,26
Mumford0,1,2,1.01,-0.01,200,150,0.25,0.25,0.3,7124.33,39
Mumford0,1,3,1.01,-0.01,200,150,0.25,0.25,0.3,7324.27,54
Mumford0,1,4,1.01,-0.01,200,150,0.25,0.25,0.3,7586.48,63
Mumford0,1,5,1.01,-0.01,200,150,0.25,0.25,0.3,7778.97,75
Mumford0,1,6,1.01,-0.01,200,150,0.25,0.25,0.3,7847.41,85
Mumford0,1,7,1.01,-0.01,200,150,0.25,0.25,0.3,7970.57,94
Mumford0,1,8,1.01,-0.01,200,150,0.25,0.25,0.3,8040.25,108
Mumford0,1,9,1.01,-0.01,200,150,0.25,0.25,0.3,8116.46,119
Mumford0,1,10,1.01,-0.01,200,150,0.25,0.25,0.3,8170.72,127
Mumford0,1,11,1.01,-0.01,200,150,0.25,0.25,0.3,8289.3,137
Mumford0,1,12,1.01,-0.01,200,150,0.25,0.25,0.3,8353.71,147
Mumford0,1,13,1.01,-0.01,200,150,0.25,0.25,0.3,8442.66,157
Mumford0,1,14,1.01,-0.01,200,150,0.25,0.25,0.3,8442.92,167
Mumford0,1,15,1.01,-0.01,200,150,0.25,0.25,0.3,8481,178
Mumford0,1,16,1.01,-0.01,200,150,0.25,0.25,0.3,8506.85,189
Mumford0,1,17,1.01,-0.01,200,150,0.25,0.25,0.3,8557.56,199
Mumford0,1,18,1.01,-0.01,200,150,0.25,0.25,0.3,8557.57,210
Mumford0,1,19,1.01,-0.01,200,150,0.25,0.25,0.3,8557.76,220
Mumford0,1,20,1.01,-0.01,200,150,0.25,0.25,0.3,8558.03,231
Mumford0,1,21,1.01,-0.01,200,150,0.25,0.25,0.3,8558.07,242
Mumford0,1,22,1.01,-0.01,200,150,0.25,0.25,0.3,8558.07,253
Mumford0,1,23,1.01,-0.01,200,150,0.25,0.25,0.3,8558.07,264
Mumford0,1,24,1.01,-0.01,200,150,0.25,0.25,0.3,8558.07,276
Mumford0,1,25,1.01,-0.01,200,150,0.25,0.25,0.3,8560.61,287
Mumford0,1,26,1.01,-0.01,200,150,0.25,0.25,0.3,8560.61,297
Mumford0,1,27,1.01,-0.01,200,150,0.25,0.25,0.3,8560.64,308
